AuthorIndex,JournalIndex,edgeweight,AuthorLabel,JournalLabel,IsSociologyJournal
0,134,1,"Ahn, Byung-joon",Foreign Affairs,0
40,134,1,"Harrison, Selig S.",Foreign Affairs,0
89,134,1,"Reiss, Mitchell B.; Gallucci, Robert L.",Foreign Affairs,0
98,134,1,"Stoessinger, John G.",Foreign Affairs,0
1,135,1,"Albright, Madeleine K.",Foreign Policy,0
2,157,1,"Andersson, Magnus; Bae, Jinsun",North Korean Review,0
7,157,1,"Beck, Peter M.; Reader, Nicholas",North Korean Review,0
14,157,1,"Caprio, Mark",North Korean Review,0
20,157,1,"Clément, Théo",North Korean Review,0
41,157,1,"Hayes, Peter",North Korean Review,0
53,157,1,"Kim, Insoo; Lee, Min Yong",North Korean Review,0
59,157,1,"Kim, Yongho",North Korean Review,0
64,157,1,"Lee, Aie-Rie; Lee, Hyun-chool; Lee, Ji-Yong; Kim, Il-Gi",North Korean Review,0
73,157,1,"Matherly, Carter",North Korean Review,0
93,157,1,"Scobell, Andrew",North Korean Review,0
93,119,1,"Scobell, Andrew",Asian Security,0
3,151,1,"BARANY, ZOLTAN D.",Journal of Political & Military Sociology,1
4,175,1,"Bachman, David",The Journal of Asian Studies,0
8,175,1,"Bong, Youngshik D.",The Journal of Asian Studies,0
13,175,1,"CHOI, CHANGYONG",The Journal of Asian Studies,0
18,175,1,"Clark, Donald N.",The Journal of Asian Studies,0
54,175,1,"Kim, Roy U. T.",The Journal of Asian Studies,0
57,175,1,"Kim, Sunwoong",The Journal of Asian Studies,0
58,175,1,"Kim, Suzy",The Journal of Asian Studies,0
60,175,2,"Koh, B. C.",The Journal of Asian Studies,0
60,153,3,"Koh, B. C.",Korean Studies,0
76,175,1,"McEachern, Patrick; Boyd, Molly",The Journal of Asian Studies,0
76,143,1,"McEachern, Patrick; Boyd, Molly",Journal of Asian Studies - J ASIAN STUD,0
5,168,1,"Bailey, K. D.",Systems practice,0
6,178,1,"Bates, Robert H.",The Journal of Politics,0
9,121,1,"Bounding, Kenneth E.",Behavioral Science,0
10,167,1,"Brocklesby, John; Mingers, John",Systems Research and Behavioral Science,0
11,141,1,"Byman, Daniel; Lind, Jennifer",International Security,0
16,141,1,"Chestnut, Sheena",International Security,0
43,141,1,"Herrmann, Richard K.; Choi, Jong Kun",International Security,0
79,141,1,"Nincic, Miroslav",International Security,0
92,141,1,"Russett, Bruce; Layne, Christopher; Spiro, David E.; Doyle, Michael W.",International Security,0
12,131,1,"Bünte, Marco",Democratization,0
36,131,1,"Gerschewski, Johannes",Democratization,0
15,126,1,"Chen, Cheng; Lee, Ji-Yong",Communist and Post-communist Studies - COMMUNIST POST-COMMUNIST STUD,0
17,176,1,"Cho, Seong-Ryoul",The Journal of East Asian Affairs,0
19,146,1,"Clemens, Walter C.",Journal of East Asian Studies,0
26,146,1,"De Ceuster, Koen",Journal of East Asian Studies,0
44,146,1,"Hwang, Balbina Y.",Journal of East Asian Studies,0
63,146,1,"Lankov, Andrei",Journal of East Asian Studies,0
97,146,1,"Song, Wonjun; Wright, Joseph",Journal of East Asian Studies,0
101,146,1,"Sylvestre, Peter",Journal of East Asian Studies,0
21,171,1,"Coles, Harry L.",The American Historical Review,0
22,162,1,"Corning, Peter A.",Politics and the Life Sciences,0
23,129,1,"Cushman, Thomas",Contemporary Sociology,1
24,164,1,"Dallin, Alexander",Slavic Review,0
25,145,1,"David-West, Alzo",Journal of Contemporary Asia - J CONTEMP ASIA,0
27,163,1,"Diwan, Romesh",Science & Society,1
28,174,1,"Dorn, James A.",The Independent Review,0
29,128,1,"Dukalskis, Alexander; Gerschewski, Johannes",Contemporary Politics,0
30,161,1,"Easton, David",Political Theory,0
31,120,1,"Eberstadt, Nicholas",Asian Survey,0
