AuthorIndex,AuthorLabel
0,"Ahn, Byung-joon"
1,"Albright, Madeleine K."
2,"Andersson, Magnus; Bae, Jinsun"
3,"BARANY, ZOLTAN D."
4,"Bachman, David"
5,"Bailey, K. D."
6,"Bates, Robert H."
7,"Beck, Peter M.; Reader, Nicholas"
8,"Bong, Youngshik D."
9,"Bounding, Kenneth E."
10,"Brocklesby, John; Mingers, John"
11,"Byman, Daniel; Lind, Jennifer"
12,"Bünte, Marco"
13,"CHOI, CHANGYONG"
14,"Caprio, Mark"
15,"Chen, Cheng; Lee, Ji-Yong"
16,"Chestnut, Sheena"
17,"Cho, Seong-Ryoul"
18,"Clark, Donald N."
19,"Clemens, Walter C."
20,"Clément, Théo"
21,"Coles, Harry L."
22,"Corning, Peter A."
23,"Cushman, Thomas"
24,"Dallin, Alexander"
25,"David-West, Alzo"
26,"De Ceuster, Koen"
27,"Diwan, Romesh"
28,"Dorn, James A."
29,"Dukalskis, Alexander; Gerschewski, Johannes"
30,"Easton, David"
31,"Eberstadt, Nicholas"
32,"Ericson, Richard E."
33,"Francisco, Ronald A."
34,"Geddes, Barbara; Wright, Joseph; Frantz, Erica"
35,"Geifman, Anna"
36,"Gerschewski, Johannes"
37,"Grauvogel, Julia; von Soest, Christian"
38,"Haggard, Stephan; Herman, Luke; Ryu, Jaesung"
39,"Halliday, Jon"
40,"Harrison, Selig S."
41,"Hayes, Peter"
42,"Heilmann, Sebastian; Melton, Oliver"
43,"Herrmann, Richard K.; Choi, Jong Kun"
44,"Hwang, Balbina Y."
45,"Hwang, Jaeho"
46,"Hwang, Kwang-kuo"
47,"Ishiyama, John"
48,"Jeon, Jei Guk"
49,"Jesse, Neal"
50,"Jonsson, Petur O."
51,"Kihl, Young Whan"
52,"Kim, Heungkyu"
53,"Kim, Insoo; Lee, Min Yong"
54,"Kim, Roy U. T."
55,"Kim, Samuel S."
56,"Kim, Sung Chull"
57,"Kim, Sunwoong"
58,"Kim, Suzy"
59,"Kim, Yongho"
60,"Koh, B. C."
61,"Koh, Byung Chul"
62,"Kuran, Timur"
63,"Lankov, Andrei"
64,"Lee, Aie-Rie; Lee, Hyun-chool; Lee, Ji-Yong; Kim, Il-Gi"
65,"Lee, Katherine In-Young"
66,"Leung C. K., Hanson"
67,"Lipson, Michael"
68,"Liu, Alan P. L."
69,"Lynn, Hyung-Gu"
70,"Mahdavi, Paasha; Ishiyama, John"
71,"Mahdavi, Paasha; John, Ishiyama"
72,"Manzocco, Roberto"
73,"Matherly, Carter"
74,"McCormack, Gavan"
75,"McEachern, Patrick"
76,"McEachern, Patrick; Boyd, Molly"
77,"McNEAL, ROBERT H."
78,"Munck, Gerardo L.; Leff, Carol Skalnik"
79,"Nincic, Miroslav"
80,"Noland, Marcus"
81,"Noland, Marcus; Robinson, Sherman; Liu, Ligang"
82,"Oh, Kongdan; Hassig, Ralph C."
83,"Oleszczuk, Thomas"
84,"Packenham, Robert A."
85,"Park, Han Shik"
86,"Putnam, Robert D."
87,"Pynsent, R. B."
88,"Pyrcz, Greg"
89,"Reiss, Mitchell B.; Gallucci, Robert L."
90,"Rhee, Kang Suk"
91,"Robinson, Jean C."
92,"Russett, Bruce; Layne, Christopher; Spiro, David E.; Doyle, Michael W."
93,"Scobell, Andrew"
94,"Sigal, Leon V."
95,"Skillend, W. E."
96,"Skilling, H. Gordon"
97,"Song, Wonjun; Wright, Joseph"
98,"Stoessinger, John G."
99,"Strauss, Julia C."
100,"Suh, Dae-Sook"
101,"Sylvestre, Peter"
102,"Szelenyi, Ivan"
103,"Uhalley, Stephen"
104,"Vittoz, Stanley"
105,"Von Bertalanffy, Ludwig"
106,"Wedeman, Andrew"
107,"Yee, Samuel"
108,"Yoon, Dae-Kyu; Yang, Moon-Soo"
109,"Young, Roland"
110,"Ziegler, Charles E."
111,"graziano, luigi"
112,"lee, Chae-Jin; Scalapino, Robert A.; Kim, Dalchoong"
