JournalIndex,JournalLabel,IsSociologyJournal
113,Acta Sociologica,1
114,American Journal of Sociology,1
115,American Political Science Review,0
116,Armed Forces & Society,0
117,Asian Economic Papers,0
118,Asian Perspective,0
119,Asian Security,0
120,Asian Survey,0
121,Behavioral Science,0
122,Berkeley Undergraduate Journal,0
123,British Journal of Political Science,0
124,Canadian Journal of Political Science/Revue canadienne de science politique,0
125,Communist and Post-Communist Studies,0
126,Communist and Post-communist Studies - COMMUNIST POST-COMMUNIST STUD,0
127,Comparative Politics,0
128,Contemporary Politics,0
129,Contemporary Sociology,1
130,Contemporary Southeast Asia,0
131,Democratization,0
132,European Journal of Political Research,0
133,European Political Science,0
134,Foreign Affairs,0
135,Foreign Policy,0
136,Global Asia,0
137,International Advances in Economic Research,0
138,"International Journal of Politics, Culture, and Society",0
139,International Labor and Working-Class History,1
140,International Organization,1
141,International Security,0
142,Issues & Studies,0
143,Journal of Asian Studies - J ASIAN STUD,0
144,Journal of Asian and African Studies,0
145,Journal of Contemporary Asia - J CONTEMP ASIA,0
146,Journal of East Asian Studies,0
147,Journal of Economic Integration,0
148,Journal of Economic Perspectives,0
149,Journal of International Affairs,0
150,Journal of International and Area Studies,0
151,Journal of Political & Military Sociology,1
152,Journal of Third World Studies,0
153,Korean Studies,0
154,Millennium,0
155,Modern China,0
156,New Left Review,0
157,North Korean Review,0
158,Nuncius,0
159,Pacific Affairs,0
160,Perspectives on Politics,0
161,Political Theory,0
162,Politics and the Life Sciences,0
163,Science & Society,1
164,Slavic Review,0
165,Soviet Studies,0
166,Studies in Comparative Communism,0
167,Systems Research and Behavioral Science,0
168,Systems practice,0
169,The ANNALS of the American Academy of Political and Social Science,1
170,The Academy of Management Journal,0
171,The American Historical Review,0
172,The American Political Science Review,0
173,The China Quarterly,0
174,The Independent Review,0
175,The Journal of Asian Studies,0
176,The Journal of East Asian Affairs,0
177,The Journal of Korean Studies (1979-),0
178,The Journal of Politics,0
179,The Nonproliferation Review,0
180,The Oral History Review,0
181,The Slavonic and East European Review,0
182,Third World Quarterly,0
183,World Politics,0
184,"… . Washington, DC, Korea Economic Institute of …",0
