"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CQXH42RM","journalArticle","1996","Gould, Roger V.","Patron-Client Ties, State Centralization, and the Whiskey Rebellion","American Journal of Sociology","","0002-9602","10.1086/230951","https://www.journals.uchicago.edu/doi/abs/10.1086/230951","Patronage is recognized in the literature on state formation as a tool used to co-opt elite adversaries. But the focus on economic bases of elite opposition has obscured a second issue: co-optation benefits some elites at the expense of those who occupy disadvantaged positions in local patronage networks, inclining the latter to resist. This mechanism accounts for patterns of elite participation in the Whiskey Rebellion of 1794, a mass mobilization against state building in the postrevolutionary United States. Elites without patronage ties, and those whose clienteles overlapped with those of federal officers, were more likely to mobilize against the state.","1996-09","2022-05-23 08:44:12","2022-05-23 08:44:12","2022-05-23 08:43:58","400-429","","2","102","","","","","","","","","","","","","","","journals.uchicago.edu (Atypon)","","Publisher: The University of Chicago Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BSIPEGYH","journalArticle","1996","Gould, Roger V.","Patron-Client Ties, State Centralization, and the Whiskey Rebellion","American Journal of Sociology","","0002-9602","","https://www.jstor.org/stable/2782630","Patronage is recognized in the literature on state formation as a tool used to co-opt elite adversaries. But the focus on economic bases of elite opposition has obscured a second issue: co-optation benefits some elites at the expense of those who occupy disadvantaged positions in local patronage networks, inclining the latter to resist. This mechanism accounts for patterns of elite participation in the Whiskey Rebellion of 1794, a mass mobilization against state building in the postrevolutionary United States. Elites without patronage ties, and those whose clienteles overlapped with those of federal officers, were more likely to mobilize against the state.","1996","2022-05-23 08:36:21","2022-05-23 08:36:21","2022-05-23 08:29:40","400-429","","2","102","","","","","","","","","","","","","","","JSTOR","","Publisher: University of Chicago Press","","C:\Users\seoul\Zotero\storage\PX6M3LK8\Gould - 1996 - Patron-Client Ties, State Centralization, and the .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GIKD4D7E","journalArticle","1975","Braun, Rudolf","Taxation, sociopolitical structure, and state-building: Great Britain and Brandenburg-Prussia","The formation of national states in Western Europe","","","","","","1975","2022-05-23 09:16:25","2022-05-23 09:16:25","","","","","8","","","Taxation, sociopolitical structure, and state-building","","","","","","","","","","","","Google Scholar","","Publisher: Princeton University Press Princeton, NJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K2UZLPZA","journalArticle","","Gould, Roger V.","Political Networks and the Local/National Boundary in the Whiskey Rebellion in Michael P. Hannagan, Leslie Page Moch & Wayne Te Brake, eds","Challenging Authority: The Historical Study of Contentious Politics","","","","","","","2022-05-23 09:15:12","2022-05-23 09:15:12","","36–53","","","","","","","","","","","","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C7PWED7G","book","","","Relations into Rhetorics: Local Elite Structure in Norfolk, England, 1540-1640 | American Sociological Association","","","","","https://www.asanet.org/relations-rhetorics-local-elite-structure-norfolk-england-1540-1640","","","2022-05-23 08:53:26","2022-05-23 09:13:40","2022-05-23 08:53:26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AU4K4WWU","webpage","","","Harper, R. Eugene. 1991. The Transformationf Western... - Google 학술 검색","","","","","https://scholar.google.com/scholar?hl=ko&as_sdt=0%2C5&q=Harper%2C+R.+Eugene.+1991.+The+Transformationf+Western+Pennsylvania%2C+1770-1800.&btnG=","","","2022-05-23 09:12:05","2022-05-23 09:12:05","2022-05-23 09:12:05","","","","","","","","","","","","","","","","","","","","","","","C:\Users\seoul\Zotero\storage\XP7BTD93\scholar.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TVN48R99","book","1971","Hobsbawm, Eric J.","Primitive Rebels: Studies in Archaic Forms of Social Movement in the 19th and 20th Centuries","","978-0-7190-0493-3","","","","Following interviews with contemporaries and eyewitnesses, relatives and friends, and access to documents and archives, Knopp offers a view of what went on behind the scenes in the Third Reich.","1971","2022-05-23 09:10:48","2022-05-23 09:10:48","","","238","","","","","Primitive Rebels","","","","","Manchester University Press","","en","","","","","Google Books","","Google-Books-ID: sCK8AAAAIAAJ","","","https://books.google.kz/books?id=sCK8AAAAIAAJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74MVZTU4","book","1995","Gould, Roger V.","Insurgent Identities: Class, Community, and Protest in Paris from 1848 to the Commune","","978-0-226-30560-8","","","","In this important contribution both to the study of social protest and to French social history, Roger Gould breaks with previous accounts that portray the Paris Commune of 1871 as a continuation of the class struggles of the 1848 Revolution. Focusing on the collective identities framing conflict during these two upheavals and in the intervening period, Gould reveals that while class played a pivotal role in 1848, it was neighborhood solidarity that was the decisive organizing force in 1871.  The difference was due to Baron Haussmann's massive urban renovation projects between 1852 and 1868, which dispersed workers from Paris's center to newly annexed districts on the outskirts of the city. In these areas, residence rather than occupation structured social relations. Drawing on evidence from trail documents, marriage records, reports of police spies, and the popular press, Gould demonstrates that this fundamental rearrangement in the patterns of social life made possible a neighborhood insurgent movement; whereas the insurgents of 1848 fought and died in defense of their status as workers, those in 1871 did so as members of a besieged urban community.  A valuable resource for historians and scholars of social movements, this work shows that collective identities vary with political circumstances but are nevertheless constrained by social networks. Gould extends this argument to make sense of other protest movements and to offer predictions about the dimensions of future social conflict.","1995-12","2022-05-23 09:08:29","2022-05-23 09:08:29","","","272","","","","","Insurgent Identities","","","","","University of Chicago Press","","en","","","","","Google Books","","Google-Books-ID: Fbrf8i0NIu4C","","","https://books.google.kz/books?id=Fbrf8i0NIu4C","","History / Asia / Japan; History / Europe / France; Social Science / General","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z27HR6GF","webpage","","","FORD, FRANKLIN L. Robe and Sword: The Regrouping of the French Aristocracy After Louis XIV. Pp. xiii, 280. Cam bridge, Mass.: Harvard University Press, 1953. $6.00 - E.A. Beller, 1954","","","","","https://journals.sagepub.com/doi/abs/10.1177/000271625429200191","","","2022-05-23 09:07:42","2022-05-23 09:07:42","2022-05-23 09:07:42","","","","","","","","","","","","","","","","","","","","","","","C:\Users\seoul\Zotero\storage\EY82U4QA\000271625429200191.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7UWD3TZ4","book","1796","Findley, William","History of the Insurrection: In the Four Western Counties of Pennsylvania in the Year MDCCXCIV ; with a Recital of the Circumstances Specially Connected Therewith, and an Historical Review of the Previous Situation of the Country","","978-0-608-42377-7","","","","","1796","2022-05-23 09:06:56","2022-05-23 09:06:56","","","340","","","","","History of the Insurrection","","","","","Samuel Harrison Smith, No. 118, Chesnut-street.","","en","","","","","Google Books","","Google-Books-ID: RXsFAAAAQAAJ","","","https://books.google.kz/books?id=RXsFAAAAQAAJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
