"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"B9T9PACU","document","2022","","tag donkey - phantom document importing tags from one group to another","","","","","","","2022","2022-02-04 00:07:56","2022-02-04 00:07:56","","","","","","","","","","","","","","","","","","","","","","","","","","0 acquire; 1 methods: semantic networks; 1 methods: social networks; 1 theory: patrons & factions; 0 annotate; 0 read; 1 region: south korea; 1 theory: party politics; 1 theory: neopatrimonialism; 1 region: taiwan; 1 region: north korea; 1 methods: comparative historical analysis; 1 theory: political sociology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8SJ7MB3J","journalArticle","2018","Song, Wonjun; Wright, Joseph","THE NORTH KOREAN AUTOCRACY IN COMPARATIVE PERSPECTIVE","Journal of East Asian Studies","","1598-2408, 2234-6643","10.1017/jea.2018.8","https://www.cambridge.org/core/product/identifier/S1598240818000085/type/journal_article","The North Korean regime is unique among dictatorships because it is both long-lasting and highly personalized. We argue that initial factionalization of the regime, coupled with the presence of multiple foreign backers early in the regime, allowed the first leader to personalize the regime by first wresting power from the military and then subsequently curbing the autonomous power of the Korean Worker’s Party. Using a measure of personalism constructed from historical data, we trace the consolidation of personal power in the North Korean regime and compare it to other communist regimes in the region to show how the evolution of personalist rule in these cases differed. We then explain this sequence of personalization in North Korea by showing how regime imposition by one foreign power, the Soviet Union, combined with military backing from a second foreign power, China, incentivized Kim Il-sung to consolidate personal control over the military and internal security apparatus by reducing the threat of military backlash.","2018-07","2022-03-31 16:23:50","2022-03-31 16:23:50","2022-02-01 01:17:07","157-180","","2","18","","J. East Asian Stud.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\j.reidhead\Zotero\storage\HPG5DKFW\Song and Wright - 2018 - THE NORTH KOREAN AUTOCRACY IN COMPARATIVE PERSPECT.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8NFII3FV","journalArticle","1999","Koh, B. C.","Review of Disarming Strangers: Nuclear Diplomacy with North Korea","Korean Studies","","0145-840X","","https://www.jstor.org/stable/23719227","","1999","2022-05-23 11:10:09","2022-05-23 11:24:47","2022-05-23 11:10:09","169-171","","","23","","","Review of Disarming Strangers","","","","","","","","","","","","JSTOR","","Publisher: University of Hawai'i Press","","C:\Users\j.reidhead\Zotero\storage\7SUPMA6C\Koh - 1999 - Review of Disarming Strangers Nuclear Diplomacy w.pdf","","","","","","","","","","","","","","","","","","Sigal, Leon V.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42DTCN23","journalArticle","2006","Lankov, Andrei","Bitter Taste of Paradise: North Korean Refugees in South Korea","Journal of East Asian Studies","","1598-2408","","https://www.jstor.org/stable/23418172","This article deals with the problems of North Korean defectors currently living in South Korea. In the past, most such defectors came from privileged groups in the North Korean population, and their adjustment to the new environment did not pose a significant problem. However, from the mid-1990s, defectors began to come from the far less privileged groups. They experience serious problems related to jobs, education, crime, and social adjustment. Recent years have seen a dramatic but not always openly stated change in the official South Korean attitude toward defectors: from a policy explicitly aimed at encouraging defection, Seoul has moved to the policy of quietly discouraging it. There are fears that encouraging defection will undermine the policy of peaceful engagement with the North. There is also the perception that refugees are outsiders, not quite adjustable to the conditions of South Korean society and thus a social and budgetary burden.","2006","2022-05-23 11:09:32","2022-05-23 11:09:32","2022-05-23 11:09:32","105-137","","1","6","","","Bitter Taste of Paradise","","","","","","","","","","","","JSTOR","","Publisher: Lynne Rienner Publishers","","C:\Users\j.reidhead\Zotero\storage\XYG49PHX\Lankov - 2006 - Bitter Taste of Paradise North Korean Refugees in.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GEVXPC8J","journalArticle","2008","Scobell, Andrew","The Evolution of North Korea's Political System and Pyongyang's Potential for Conflict Management","North Korean Review","","1551-2789","","https://www.jstor.org/stable/43908694","Since the formal establishment of the Democratic People's Republic of Korea (DPRK) in 1948, the Korean Peninsula has witnessed regular crises, repeated tensions, and occasional attempts at negotiation and conflict management. Most scholars and analysts seek to explain this record with reference to balance-of-power dynamics between the two Koreas, with particular attention to the evolving alliance and adversarial relationships of Pyongyang and Seoul, to explain the past five decades of Korean history. Perhaps equally important in comprehending the Korean conundrum is to understand the internal dynamics in the countries concerned over the past half century. This paper examines the historical evolution of the DPRK's political system to analyze what, if any, impact domestic political realities have had on that country's potential to pursue conflict management on the Korean Peninsula.","2008","2022-05-23 11:08:59","2022-05-23 11:08:59","2022-05-23 11:08:59","91-108","","1","4","","","","","","","","","","","","","","","JSTOR","","Publisher: McFarland & Company","","C:\Users\j.reidhead\Zotero\storage\L6FJ39TA\Scobell - 2008 - The Evolution of North Korea's Political System an.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G8UTLYB4","journalArticle","2005","Scobell, Andrew","Making Sense of North Korea: Pyongyang and Comparative Communism","Asian Security","","1479-9855","10.1080/14799850500341932","https://doi.org/10.1080/14799850500341932","Highly repressive, heavily militarized, strongly resistant to reform, and ruled by a dynastic dictatorship that adheres to a hybrid ideology, North Korea might be “the strangest political system in existence.” While distinctive, North Korea is an orthodox communist party-state best classified as an eroding totalitarian regime. Although weakening, Pyongyang remains durable and could survive for many more years. Absent “regime change,” North Korea is unlikely to demilitarize—including relinquishing its nuclear program—and will continue to reject thoroughgoing economic reform, cling to ideology for legitimacy, and make every effort to engineer a successful dynastic succession.","2005-09-01","2022-05-23 11:08:06","2022-05-23 11:08:06","2022-05-23 11:08:06","245-266","","3","1","","","Making Sense of North Korea","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1080/14799850500341932","","C:\Users\j.reidhead\Zotero\storage\KR72R43F\Scobell - 2005 - Making Sense of North Korea Pyongyang and Compara.pdf; C:\Users\j.reidhead\Zotero\storage\5Y95MXDI\14799850500341932.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHEA6PXP","report","2006","Scobell, Andrew","Kim Jong IL and North Korea: The Leader and the System:","","","","","http://www.dtic.mil/docs/citations/ADA444638","","2006-03-01","2022-05-23 11:07:41","2022-05-23 11:07:41","2022-05-23 11:07:41","","","","","","","Kim Jong IL and North Korea","","","","","Defense Technical Information Center","Fort Belvoir, VA","en","","","","","DOI.org (Crossref)","","DOI: 10.21236/ADA444638","","C:\Users\j.reidhead\Zotero\storage\UYPVDEAA\Scobell - 2006 - Kim Jong IL and North Korea The Leader and the Sy.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QCHQDTYT","journalArticle","1987","Rhee, Kang Suk","North Korea's Pragmatism: A Turning Point?","Asian Survey","","0004-4687","10.2307/2644862","https://www.jstor.org/stable/2644862","","1987","2022-05-23 11:05:00","2022-05-23 11:05:00","2022-05-23 11:05:00","885-902","","8","27","","","North Korea's Pragmatism","","","","","","","","","","","","JSTOR","","Publisher: University of California Press","","C:\Users\j.reidhead\Zotero\storage\NW28E25N\Rhee - 1987 - North Korea's Pragmatism A Turning Point.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VANKNYPI","journalArticle","2007","Chestnut, Sheena","Illicit Activity and Proliferation: North Korean Smuggling Networks","International Security","","0162-2889","","https://www.jstor.org/stable/30129802","Since public disclosure by the Democratic People's Republic of Korea (DPRK) of its uranium enrichment program in 2002 and the subsequent restarting of its plutonium reactor, policymakers and academics have expressed concern that the DPRK will one day export nuclear material or components. An examination of North Korea's involvement in nonnuclear criminal activities shows that the DPRK has established sophisticated transnational smuggling networks, some of which involve terrorist groups and others that have been able to distribute counterfeit currency and goods on U.S. territory. These networks provide North Korea with a significant amount of much-needed hard currency, but the DPRK regime's control over them has decreased over time. These developments suggest that North Korea has both the means and motivation for exporting nuclear material, and that concerns over nuclear export from the DPRK, authorized or not, are well founded. When placed in the context of the global nuclear black market, the North Korea case suggests that criminal networks are likely to play an increased role in future proliferation. In addition, it raises the concern that proliferation conducted through illicit networks will not always be well controlled by the supplier state. It is therefore imperative to track and curtail illicit networks not only because of the costs they impose, but also because of the deterrent value of countersmuggling efforts. New strategies that integrate law enforcement, counterproliferation, and nonproliferation tools are likely to have the greatest success in addressing the risks posed by illicit proliferation networks.","2007","2022-05-23 10:52:47","2022-05-23 10:52:47","2022-05-23 10:52:47","80-111","","1","32","","","Illicit Activity and Proliferation","","","","","","","","","","","","JSTOR","","Publisher: The MIT Press","","C:\Users\j.reidhead\Zotero\storage\MH8NAPWX\Chestnut - 2007 - Illicit Activity and Proliferation North Korean S.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6CK7GT88","journalArticle","2005","Reiss, Mitchell B.; Gallucci, Robert L.","Dead to Rights","Foreign Affairs","","0015-7120","10.2307/20034283","https://www.jstor.org/stable/20034283","","2005","2022-05-23 10:52:06","2022-05-23 10:52:06","2022-05-23 10:52:06","142-145","","2","84","","","","","","","","","","","","","","","JSTOR","","Publisher: Council on Foreign Relations","","C:\Users\j.reidhead\Zotero\storage\5N3KJ8MH\Reiss and Gallucci - 2005 - Dead to Rights.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
