AuthorNodeID,JournalNodeID,edgeweight
0,138,1
41,138,1
90,138,1
99,138,1
1,139,1
2,166,1
7,166,1
14,166,1
20,166,1
42,166,1
54,166,1
60,166,1
65,166,1
74,166,1
94,166,1
94,122,1
3,158,1
4,148,1
8,148,1
13,148,1
18,148,1
55,148,1
58,148,1
59,148,1
62,148,2
62,121,1
62,161,2
77,148,1
5,179,1
6,159,1
9,124,1
10,178,1
11,146,1
16,146,1
44,146,1
80,146,1
93,146,1
12,135,1
36,135,1
15,130,1
17,151,1
19,152,1
26,152,1
45,152,1
64,152,1
98,152,1
102,152,1
21,116,1
22,172,1
23,133,1
24,174,1
25,150,1
27,173,1
28,141,1
29,132,1
30,171,1
31,123,1
39,123,1
76,123,1
83,123,1
91,123,1
32,154,1
33,134,1
34,170,1
35,168,1
37,136,1
38,137,1
40,164,1
43,163,1
46,162,1
47,117,1
63,117,1
48,129,1
48,149,1
49,180,1
50,119,1
51,142,1
52,118,1
69,118,1
85,118,1
92,118,1
53,156,1
56,121,1
86,121,1
101,121,1
109,121,1
57,147,1
61,161,1
95,161,1
66,157,1
67,177,1
68,165,1
70,140,1
71,131,1
72,131,1
79,131,1
73,167,1
75,169,1
112,169,1
78,155,1
81,120,1
82,153,1
84,176,1
87,145,1
88,175,1
89,127,1
96,128,1
107,128,1
97,181,1
100,144,1
103,115,1
104,160,1
105,143,1
106,114,1
108,125,1
110,113,1
111,126,1
