"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7UWD3TZ4","book","1796","Findley, William","History of the Insurrection: In the Four Western Counties of Pennsylvania in the Year MDCCXCIV ; with a Recital of the Circumstances Specially Connected Therewith, and an Historical Review of the Previous Situation of the Country","","978-0-608-42377-7","","","","","1796","2022-05-23 09:06:56","2022-05-23 09:06:56","","","340","","","","","History of the Insurrection","","","","","Samuel Harrison Smith, No. 118, Chesnut-street.","","en","","","","","Google Books","","Google-Books-ID: RXsFAAAAQAAJ","","","https://books.google.kz/books?id=RXsFAAAAQAAJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LKL4YDMV","journalArticle","1988","Fernandez, Roberto M.; McAdam, Doug","Social networks and social movements: Multiorganizational fields and recruitment to Mississippi Freedom Summer","Sociological Forum","","1573-7861","10.1007/BF01116431","https://doi.org/10.1007/BF01116431","This study explores the role of multiorganizational fields in recruitment to social movements. We study applicants to the 1964 Mississippi Freedom Summer project from two sites: the University of California at Berkeley and the University of Wisconsin at Madison. Using network analysis, we develop a model of recruitment that predicts participation on the basis of the structural positions of individuals within the multiorganizational fields, as well as on the basis of individual background factors. We also study the role that the recruitment context plays, by comparing the results at these two universities. Independent of the individual background factors, structural position in the multiorganizational field predicts participation in Freedom Summer at Wisconsin, but not at Berkeley. The effects of individual background factors on participation are also contingent on the recruitment context. We discuss the theoretical implications of our results for the study of the effects of multiorganizational fields and recruitment contexts on participation in social movements.","1988-06-01","2022-05-23 09:06:31","2022-05-23 09:06:31","2022-05-23 09:06:31","357-382","","3","3","","Sociol Forum","Social networks and social movements","","","","","","","en","","","","","Springer Link","","","","","","","Network Analysis; Social Issue; Social Movement; Social Network; Theoretical Implication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ND979VKA","book","1938","Ferguson, Russell J.","Early Western Pennsylvania Politics","","978-0-8229-7527-4","","","","The conflict between the Jeffersonian and Hamiltonian concepts of democracy was nowhere more vigorous or bitter than in Western Pennsylvania during the period when the region evolved from an agrarian to an industrial economy. This book traces the political aspects of this transformation step by step. The region's long allegiance to Jeffersonianism, was in part due to a group of plodding but shrewd politicians who remained in power until well after the War of 1812, before they were succeded by Hamiltonians. Ferguson profiles the major politicians and political events in the region from Revolutionary War times until the 1820s.","1938-03-15","2022-05-23 09:06:04","2022-05-23 09:06:04","","","328","","","","","","","","","","University of Pittsburgh Pre","","en","","","","","Google Books","","","","","https://books.google.kz/books?id=T-8K89LcOlEC","","History / General; History / United States / State & Local / Middle Atlantic (DC, DE, MD, NJ, NY, PA)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SFPY2BCK","book","2014","Hill, Michael","Policy Process: A Reader","","978-1-317-90344-4","","","","In this new edition of his classic reader, Michael Hill seeks to make the selected extracts reflect a more European outlook on the processess of policy-making and implementation. With reference to the third edition of his popular textbook, The Policy Process in the Modern State, Hill has maintained the thematic approach of the first edition, looking in turn at approaches to policy making in Europe, power, bureaucracy and the State, the rationality/incrememtalism debate, the role of organisational theory in policy implementation, street-level bureaucracy and discretion. Already praised as one of the best readers available in thisfield, Michael Hill's new edition will be even more valued as a reference and teaching resource by students and lecturers alike.","2014-07-15","2022-05-23 09:05:35","2022-05-23 09:05:35","","","454","","","","","Policy Process","","","","","Routledge","","en","","","","","Google Books","","Google-Books-ID: QN4FBAAAQBAJ","","","https://books.google.kz/books?id=QN4FBAAAQBAJ","","Political Science / General; Social Science / Sociology / General","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6A5ZMRIW","book","1871","Creigh, Alfred","History of Washington County: From Its First Settlement to the Present Time : First Under Virginia as Yohogania, Ohio, Or Augusta County Until 1781 : and Subsequently Under Pennsylvania; with Sketches of All the Townships, Boroughs, and Villages, Etc. : and to which is Added a Full Account of the Celebrated Mason and Dixon's Line, the Whiskey Insurrection, Indian Warfare, Traditional and Local Historical Events","","","","","","","1871","2022-05-23 09:04:31","2022-05-23 09:04:31","","","522","","","","","History of Washington County","","","","","B. Singerly, printer","","en","","","","","Google Books","","Google-Books-ID: OrZIAQAAMAAJ","","","https://books.google.kz/books?id=OrZIAQAAMAAJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZBTJFRH7","journalArticle","1963","Cooke, Jacob E.","THE WHISKEY INSURRECTION: A RE-EVALUATION","Pennsylvania History: A Journal of Mid-Atlantic Studies","","0031-4528","","https://www.jstor.org/stable/27770195","","1963","2022-05-23 09:03:50","2022-05-23 09:03:50","2022-05-23 09:03:50","316-346","","3","30","","","THE WHISKEY INSURRECTION","","","","","","","","","","","","JSTOR","","Publisher: Penn State University Press","","/Users/eesaack/Zotero/storage/KNTN3R3H/Cooke - 1963 - THE WHISKEY INSURRECTION A RE-EVALUATION.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LFC4PEXE","book","1880","Linn, John Blair; Egle, William Henry","Pennsylvania Archives: Second Series","","","","","","","1880","2022-05-23 09:03:17","2022-05-23 09:03:17","","","824","","","","","Pennsylvania Archives","","","","","State printer","","en","","","","","Google Books","","Google-Books-ID: uBJJAQAAMAAJ","","","https://books.google.kz/books?id=uBJJAQAAMAAJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IW3JHYRT","journalArticle","1987","Brustein, William; Levi, Margaret","The Geography of Rebellion: Rulers, Rebels, and Regions, 1500 to 1700","Theory and Society","","0304-2421","","https://www.jstor.org/stable/657591","","1987","2022-05-23 09:01:55","2022-05-23 09:01:55","2022-05-23 09:01:55","467-495","","4","16","","","The Geography of Rebellion","","","","","","","","","","","","JSTOR","","Publisher: Springer","","/Users/eesaack/Zotero/storage/X4P6L727/Brustein 그리고 Levi - 1987 - The Geography of Rebellion Rulers, Rebels, and Re.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AZ5YPK8H","journalArticle","1985","Brustein, William","Class conflict and class collaboration in regional rebellions, 1500 to 1700","Theory and Society","","1573-7853","10.1007/BF00159250","https://doi.org/10.1007/BF00159250","I argue that distinctive regional modes of production entailed divergent configurations of interests and differing degrees of mutual dependence between peasants and landlords. Class-collaborative rebellions correlate highly with a mode of production that makes for cooperative interests and interclass dependence, while class-conflict rebellions correlate highly with a mode of production that makes for antagonistic interests and interclass independence. But class-collaboration was unlikely without a target, which the state provided. Yet the state became the target in subsistence regions where the lack of markets made the raising of tax revenues particularly difficult and where subsistence classes were not dependent on the state for markets and, therefore, had little incentive to cooperate with the state. On the other hand, in regions with a commercial mode of production, raising tax revenues was less burdensome and classes tended to be dependent on the state for markets and, therefore, less likely to engage in antistate collective action.","1985-07-01","2022-05-23 09:01:20","2022-05-23 09:01:20","2022-05-23 09:01:20","445-468","","4","14","","Theor Soc","","","","","","","","en","","","","","Springer Link","","","","","","","Collective Action; Crucial Issue; Mutual Dependence; Regional Mode; Similar Mode","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CCSIDRBE","book","1972","Brackenridge, Hugh Henry","Incidents of the Insurrection","","978-0-8084-0015-8","","","","To find more information about Rowman and Littlefield titles, please visit www.rowmanlittlefield.com.","1972","2022-05-23 08:54:16","2022-05-23 08:54:16","","","244","","","","","","","","","","Rowman & Littlefield","","en","","","","","Google Books","","Google-Books-ID: 3JI0TyhToAAC","","","https://books.google.kz/books?id=3JI0TyhToAAC","","History / United States / State & Local / Middle Atlantic (DC, DE, MD, NJ, NY, PA)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
