"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BSIPEGYH","journalArticle","1996","Gould, Roger V.","Patron-Client Ties, State Centralization, and the Whiskey Rebellion","American Journal of Sociology","","0002-9602","","https://www.jstor.org/stable/2782630","Patronage is recognized in the literature on state formation as a tool used to co-opt elite adversaries. But the focus on economic bases of elite opposition has obscured a second issue: co-optation benefits some elites at the expense of those who occupy disadvantaged positions in local patronage networks, inclining the latter to resist. This mechanism accounts for patterns of elite participation in the Whiskey Rebellion of 1794, a mass mobilization against state building in the postrevolutionary United States. Elites without patronage ties, and those whose clienteles overlapped with those of federal officers, were more likely to mobilize against the state.","1996","2022-05-23 08:36:21","2022-05-23 08:36:21","2022-05-23 08:29:40","400-429","","2","102","","","","","","","","","","","","","","","JSTOR","","Publisher: University of Chicago Press","","C:\Users\seoul\Zotero\storage\PX6M3LK8\Gould - 1996 - Patron-Client Ties, State Centralization, and the .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GIKD4D7E","journalArticle","1975","Braun, Rudolf","Taxation, sociopolitical structure, and state-building: Great Britain and Brandenburg-Prussia","The formation of national states in Western Europe","","","","","","1975","2022-05-23 09:16:25","2022-05-23 09:16:25","","","","","8","","","Taxation, sociopolitical structure, and state-building","","","","","","","","","","","","Google Scholar","","Publisher: Princeton University Press Princeton, NJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K2UZLPZA","journalArticle","","Gould, Roger V.","Political Networks and the Local/National Boundary in the Whiskey Rebellion in Michael P. Hannagan, Leslie Page Moch & Wayne Te Brake, eds","Challenging Authority: The Historical Study of Contentious Politics","","","","","","","2022-05-23 09:15:12","2022-05-23 09:15:12","","36–53","","","","","","","","","","","","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C7PWED7G","book","","","Relations into Rhetorics: Local Elite Structure in Norfolk, England, 1540-1640 | American Sociological Association","","","","","https://www.asanet.org/relations-rhetorics-local-elite-structure-norfolk-england-1540-1640","","","2022-05-23 08:53:26","2022-05-23 09:13:40","2022-05-23 08:53:26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AU4K4WWU","webpage","","","Harper, R. Eugene. 1991. The Transformationf Western... - Google 학술 검색","","","","","https://scholar.google.com/scholar?hl=ko&as_sdt=0%2C5&q=Harper%2C+R.+Eugene.+1991.+The+Transformationf+Western+Pennsylvania%2C+1770-1800.&btnG=","","","2022-05-23 09:12:05","2022-05-23 09:12:05","2022-05-23 09:12:05","","","","","","","","","","","","","","","","","","","","","","","C:\Users\seoul\Zotero\storage\XP7BTD93\scholar.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TVN48R99","book","1971","Hobsbawm, Eric J.","Primitive Rebels: Studies in Archaic Forms of Social Movement in the 19th and 20th Centuries","","978-0-7190-0493-3","","","","Following interviews with contemporaries and eyewitnesses, relatives and friends, and access to documents and archives, Knopp offers a view of what went on behind the scenes in the Third Reich.","1971","2022-05-23 09:10:48","2022-05-23 09:10:48","","","238","","","","","Primitive Rebels","","","","","Manchester University Press","","en","","","","","Google Books","","Google-Books-ID: sCK8AAAAIAAJ","","","https://books.google.kz/books?id=sCK8AAAAIAAJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z27HR6GF","webpage","","","FORD, FRANKLIN L. Robe and Sword: The Regrouping of the French Aristocracy After Louis XIV. Pp. xiii, 280. Cam bridge, Mass.: Harvard University Press, 1953. $6.00 - E.A. Beller, 1954","","","","","https://journals.sagepub.com/doi/abs/10.1177/000271625429200191","","","2022-05-23 09:07:42","2022-05-23 09:07:42","2022-05-23 09:07:42","","","","","","","","","","","","","","","","","","","","","","","C:\Users\seoul\Zotero\storage\EY82U4QA\000271625429200191.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7UWD3TZ4","book","1796","Findley, William","History of the Insurrection: In the Four Western Counties of Pennsylvania in the Year MDCCXCIV ; with a Recital of the Circumstances Specially Connected Therewith, and an Historical Review of the Previous Situation of the Country","","978-0-608-42377-7","","","","","1796","2022-05-23 09:06:56","2022-05-23 09:06:56","","","340","","","","","History of the Insurrection","","","","","Samuel Harrison Smith, No. 118, Chesnut-street.","","en","","","","","Google Books","","Google-Books-ID: RXsFAAAAQAAJ","","","https://books.google.kz/books?id=RXsFAAAAQAAJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LKL4YDMV","journalArticle","1988","Fernandez, Roberto M.; McAdam, Doug","Social networks and social movements: Multiorganizational fields and recruitment to Mississippi Freedom Summer","Sociological Forum","","1573-7861","10.1007/BF01116431","https://doi.org/10.1007/BF01116431","This study explores the role of multiorganizational fields in recruitment to social movements. We study applicants to the 1964 Mississippi Freedom Summer project from two sites: the University of California at Berkeley and the University of Wisconsin at Madison. Using network analysis, we develop a model of recruitment that predicts participation on the basis of the structural positions of individuals within the multiorganizational fields, as well as on the basis of individual background factors. We also study the role that the recruitment context plays, by comparing the results at these two universities. Independent of the individual background factors, structural position in the multiorganizational field predicts participation in Freedom Summer at Wisconsin, but not at Berkeley. The effects of individual background factors on participation are also contingent on the recruitment context. We discuss the theoretical implications of our results for the study of the effects of multiorganizational fields and recruitment contexts on participation in social movements.","1988-06-01","2022-05-23 09:06:31","2022-05-23 09:06:31","2022-05-23 09:06:31","357-382","","3","3","","Sociol Forum","Social networks and social movements","","","","","","","en","","","","","Springer Link","","","","","","","Network Analysis; Social Issue; Social Movement; Social Network; Theoretical Implication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ND979VKA","book","1938","Ferguson, Russell J.","Early Western Pennsylvania Politics","","978-0-8229-7527-4","","","","The conflict between the Jeffersonian and Hamiltonian concepts of democracy was nowhere more vigorous or bitter than in Western Pennsylvania during the period when the region evolved from an agrarian to an industrial economy. This book traces the political aspects of this transformation step by step. The region's long allegiance to Jeffersonianism, was in part due to a group of plodding but shrewd politicians who remained in power until well after the War of 1812, before they were succeded by Hamiltonians. Ferguson profiles the major politicians and political events in the region from Revolutionary War times until the 1820s.","1938-03-15","2022-05-23 09:06:04","2022-05-23 09:06:04","","","328","","","","","","","","","","University of Pittsburgh Pre","","en","","","","","Google Books","","","","","https://books.google.kz/books?id=T-8K89LcOlEC","","History / General; History / United States / State & Local / Middle Atlantic (DC, DE, MD, NJ, NY, PA)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
