NodeIndex,NodeLabel,NodeType,NodeShape,NodeSize,NodeColor
0,"Abramovitch, Rona",Author,Circle,1,Light Blue
1,"Adams, Julia",Author,Circle,1,Light Blue
2,"Adams, Simon",Author,Circle,1,Light Blue
3,"Agulhon, Maurice",Author,Circle,1,Light Blue
4,"Ahmad, Noor Sulastry Yurni; Eun, Ki-Soo",Author,Circle,1,Light Blue
5,"Ahn, Chulhyun",Author,Circle,1,Light Blue
6,"Ammon, Harry",Author,Circle,1,Light Blue
7,"An, Yong Heun",Author,Circle,1,Light Blue
8,"Anderson, Perry",Author,Circle,1,Light Blue
9,"Asaba, Yuki; Onishi, Yutaka; Tatebayashi, Masahiko",Author,Circle,1,Light Blue
10,"Ausubel, D.P.; Schiff, H.M.; Gasser, E.B.",Author,Circle,1,Light Blue
11,"Ayal, Eliezer B.",Author,Circle,1,Light Blue
12,"Ayton, Andrew",Author,Circle,1,Light Blue
13,"Bachrach, Bernard",Author,Circle,1,Light Blue
14,"Baenninger, Louise P.",Author,Circle,1,Light Blue
15,"Baker, Wayne E.",Author,Circle,1,Light Blue
16,"Barner-Barry, Carol",Author,Circle,1,Light Blue
17,"Barth, Fredrik",Author,Circle,1,Light Blue
18,"Beacham, Jeffery",Author,Circle,1,Light Blue
19,"Bearman, Peter",Author,Circle,1,Light Blue
20,"Bearman, Peter; Brückner, Hannah",Author,Circle,1,Light Blue
21,"Bearman, Peter; Moody, James; Stovel, Katherine",Author,Circle,1,Light Blue
22,"Bell, Michael Mayerfeld; Barnett, L. Margaret",Author,Circle,1,Light Blue
23,"Berman, Carol; Kapsalis, Ellen",Author,Circle,1,Light Blue
24,"Bernard, H. Russell; Johnsen, Eugene C.; Killworth, Peter D.; McCarty, Christopher; Shelley, Gene A.; Robinson, Scott",Author,Circle,1,Light Blue
25,"Bernard, H. Russell; Johnsen, Eugene C.; Killworth, Peter D.; Robinson, Scott",Author,Circle,1,Light Blue
26,"Bernstein, Irwin S.",Author,Circle,1,Light Blue
27,"Bernstein, Irwin S.; Gordon, Thomas P.",Author,Circle,1,Light Blue
28,"Billet, Bret L.",Author,Circle,1,Light Blue
29,"Black, Robert",Author,Circle,1,Light Blue
30,"Bob-Milliar, George M.",Author,Circle,1,Light Blue
31,"Boice, Robert",Author,Circle,1,Light Blue
32,"Boice, Robert; Quanty, Carol B.; Williams, Richard C.",Author,Circle,1,Light Blue
33,"Boissevain, Jeremy",Author,Circle,1,Light Blue
34,"Bonsteel Tachau, Mary K.",Author,Circle,1,Light Blue
35,"Boorman, Scott A.; White, Harrison C.",Author,Circle,1,Light Blue
36,"Bosco, Joseph",Author,Circle,1,Light Blue
37,"Bourdieu, Pierre",Author,Circle,1,Light Blue
38,"Bovbjerg, Richard V.",Author,Circle,1,Light Blue
39,"Boyd, John Paul",Author,Circle,1,Light Blue
40,"Boyd, John Paul; Jonas, Kai",Author,Circle,1,Light Blue
41,"Bradley, Ralph Allan; Terry, Milton E.",Author,Circle,1,Light Blue
42,"Brady, David; Mo, Jongryn",Author,Circle,1,Light Blue
