NodeIndex,NodeLabel,NodeType,NodeShape,NodeSize,NodeColor,IsSociologyJournal
529,21st Century Political Science Review,Journal,Square,1,White,
530,21세기정치학회보,Journal,Square,1,White,
531,ANNALS of the American Academy of Political and Social Science,Journal,Square,1,Red,1.0
532,ASIEN,Journal,Square,1,White,
533,Acta Sociologica,Journal,Square,1,Red,1.0
534,Africa,Journal,Square,1,White,
535,Agricultural History,Journal,Square,1,White,
536,Albion,Journal,Square,1,White,
537,American Anthropologist,Journal,Square,1,White,
538,American Antiquity,Journal,Square,1,White,
539,American Ethnologist,Journal,Square,1,White,
540,American Historical Review,Journal,Square,1,White,
541,American Journal of International Law,Journal,Square,1,White,
542,American Journal of Orthopsychiatry,Journal,Square,1,White,
543,American Journal of Physical Anthropology,Journal,Square,1,White,
544,American Journal of Primatology,Journal,Square,1,White,
545,American Journal of Sociology,Journal,Square,1,Red,1.0
546,American Mathematical Monthly,Journal,Square,1,White,
547,American Political Science Review,Journal,Square,1,White,
548,American Scientist,Journal,Square,1,White,
549,American Sociological Review,Journal,Square,1,Red,1.0
550,Animal Behaviour,Journal,Square,1,White,
551,"Annales. Histoire, Sciences Sociales",Journal,Square,1,White,
552,Annual Review of Sociology,Journal,Square,1,Red,1.0
553,Anthropology of War,Journal,Square,1,White,
554,Anthropology today,Journal,Square,1,White,
555,Applied Economics Letters,Journal,Square,1,White,
556,Arms Control Today,Journal,Square,1,White,
557,Asia pacific business review,Journal,Square,1,White,
558,Asian Journal of Political Science,Journal,Square,1,White,
559,Asian Journal of Women's Studies,Journal,Square,1,White,
560,"Asian New Democracies: Philippines, South Korea and Taiwan Compared",Journal,Square,1,White,
561,Asian Perspective,Journal,Square,1,White,
562,Asian Politics & Policy,Journal,Square,1,White,
563,Asian Survey,Journal,Square,1,White,
564,Asian survey,Journal,Square,1,White,
565,Austin: University of Texas,Journal,Square,1,White,
566,Authoritarianism and corporatism in Latin America,Journal,Square,1,White,
567,Available at SSRN 4040810,Journal,Square,1,White,
568,Behavioral Science,Journal,Square,1,White,
569,Behaviour,Journal,Square,1,White,
570,"Bentley (reprint ed., New York: Harmony Books 1980)",Journal,Square,1,White,
571,Berkman Center Research Publication,Journal,Square,1,White,
572,Biometrika,Journal,Square,1,White,
573,Bulletin of the Atomic Scientists,Journal,Square,1,White,
574,"CBR a. R. Radner. Amsterdam, NorthHolland",Journal,Square,1,White,
575,Cahiers d'Études Africaines,Journal,Square,1,White,
576,Cahiers de Civilisation Médiévale,Journal,Square,1,White,
577,Calcutta Univeristy,Journal,Square,1,White,
578,Cambridge: Cambridge Univ. Press,Journal,Square,1,White,
579,Canadian Historical Review,Journal,Square,1,White,
580,Canadian Journal of History,Journal,Square,1,White,
581,Canadian Journal of Political Science/Revue canadienne de science politique,Journal,Square,1,White,
582,Canadian Journal of Sociology / Cahiers canadiens de sociologie,Journal,Square,1,White,
583,Catalyst,Journal,Square,1,White,
584,Challenging Authority: Historical Study of Contentious Politics,Journal,Square,1,White,
585,Chambers38Political Parties in a New Nation: American Experience,Journal,Square,1,White,
586,Child Development,Journal,Square,1,White,
587,Child development,Journal,Square,1,White,
588,China Quarterly,Journal,Square,1,White,
589,Communication Research,Journal,Square,1,White,
590,Communist and Post-Communist Studies,Journal,Square,1,White,
591,Comparative Democratic Studies,Journal,Square,1,White,
592,Comparative Group Studies,Journal,Square,1,White,
593,Comparative Political Studies,Journal,Square,1,White,
594,Comparative Politics,Journal,Square,1,White,
595,Comparative Studies in Society and History,Journal,Square,1,White,
596,Computers in Human Behavior,Journal,Square,1,White,
597,"Conflict (Kurt H. Wolff, Trans.). New York, NY: Free Press of Glencoe",Journal,Square,1,White,
598,Conflict Resolution,Journal,Square,1,White,
